Schönefelder Chaussee,TrKö,O 8,,G,einfach * D,,Schönerlinder Straße,Pank,O,39 A,F,mittel  D
Schönefelder Chaussee,TrKö,O 10,- 10 A,G,einfach  D,,Schönerlinder Straße,Pank,O,39 B - 40,F,mittel * D
Schönefelder Chaussee,TrKö,O 12,,G,einfach * D,,Schönerlinder Straße,Pank,O,47,F,einfach * D
Schönefelder Chaussee,TrKö,O 16,- 22,G,einfach  D,,Schönerlinder Straße,Pank,O,50,F,einfach  D
Schönefelder Chaussee,TrKö,O 26,,G,einfach * D,,Schönerlinder Straße,Pank,O,51,F,einfach * D
Schönefelder Chaussee,TrKö,O 28,- 36,G,einfach  D,,Schönerlinder Straße,Pank,O,53,F,einfach  D
Schönefelder Chaussee,TrKö,O 33,- 35,U,mittel  D,,Schönerlinder Straße,Pank,O,55 - 55 A,F,einfach * D
Schönefelder Chaussee,TrKö,O 38,,G,einfach * D,,Schönerlinder Straße,Pank,O,55 B - 55 G,F,einfach  D
Schönefelder Chaussee,TrKö,O 59,- 61,U,mittel * D,,Schönerlinder Straße,Pank,O,56 - 60,F,einfach * D
Schönefelder Chaussee,TrKö,O 63,- 65,U,mittel  D,,Schönerlinder Straße,Pank,O,61 - 62,F,einfach  D
Schönefelder Chaussee,TrKö,O 66,- 70,G,mittel * D,,Schönerlinder Straße,TrKö,O,1,F,mittel * Z
Schönefelder Chaussee,TrKö,O 67,,U,mittel * D,,Schönerlinder Straße,TrKö,O,2 - 15,F,mittel Z
Schönefelder Chaussee,TrKö,O 69,- 71,U,mittel  D,,Schönerlinder Straße,TrKö,O,16 - 18,F,mittel * Z
Schönefelder Chaussee,TrKö,O 72,,G,mittel  D,,Schönerlinder Weg,Pank,O,20 - 32,G,mittel * D
Schönefelder Chaussee,TrKö,O 73,,U,mittel * D,,Schönerlinder Weg,Pank,O,21 - 39 A,U,mittel * D
Schönefelder Chaussee,TrKö,O 73 A,- 75 A,U,mittel  D,,Schönerlinder Weg,Pank,O,34,G,mittel  D
Schönefelder Chaussee,TrKö,O 74,,G,mittel * D,,Schönerlinder Weg,Pank,O,34 A - 36 A,G,mittel * D
Schönefelder Chaussee,TrKö,O 74 A,- 78,G,mittel  D,,Schönerlinder Weg,Pank,O,36 B - 38,G,mittel  D
Schönefelder Chaussee,TrKö,O 75 B,- 147,U,mittel * D,,Schönerlinder Weg,Pank,O,43 - 83 A,U,mittel  D
Schönefelder Chaussee,TrKö,O 80,,G,mittel * D,,Schönerlinder Weg,Pank,O,44 A - 44 U,G,mittel * D
Schönefelder Chaussee,TrKö,O 80 A,- 84,G,mittel  D,,Schönerlinder Weg,Pank,O,46 - 90,G,mittel  D
Schönefelder Chaussee,TrKö,O 84 A,- 140,G,mittel * D,,Schönewalder Straße,MaHe,O,2 - 14,G,mittel  D
Schönefelder Chaussee,TrKö,O 140 A,,G,mittel  D,,Schönewalder Straße,MaHe,O,9,U,mittel * Z
Schönefelder Chaussee,TrKö,O 142,,G,mittel * D,,Schöneweider Straße,Neuk,W,,K,einfach Z
Schönefelder Chaussee,TrKö,O 144,,G,mittel  D,,Schönfließer Straße,Pank,O,1 - 2,F,mittel Z
Schönefelder Chaussee,TrKö,O 144 A,- 150,G,mittel * D,,Schönfließer Straße,Pank,O,3,F,mittel * Z
Schönefelder Chaussee,TrKö,O 150 A,,G,mittel  D,,Schönfließer Straße,Pank,O,4 - 7,F,mittel Z
Schönefelder Chaussee,TrKö,O 152,,G,mittel * D,,Schönfließer Straße,Pank,O,8 - 9,F,mittel * Z
Schönefelder Chaussee,TrKö,O 154,,G,mittel  D,,Schönfließer Straße,Pank,O,10 - 12,F,mittel Z
Schönefelder Chaussee,TrKö,O 156,,G,mittel * D,,Schönfließer Straße,Pank,O,13 - 17,F,gut Z
Schönefelder Chaussee,TrKö,O 158,- 160,G,mittel  D,,Schönfließer Straße,Pank,O,18,F,mittel * Z
Schönefelder Chaussee,TrKö,O 162,,G,mittel * D,,Schönfließer Straße,Pank,O,19 - 22,F,gut Z
Schönefelder Chaussee,TrKö,O 164,,G,mittel  D,,Schönfließer Straße,Rein,W,1,U,mittel * D
Schönefelder Chaussee,TrKö,O 164 A,- 166,G,mittel * D,,Schönfließer Straße,Rein,W,2 - 80,G,gut  D
Schönefelder Chaussee,TrKö,O 168,,G,mittel  D,,Schönfließer Straße,Rein,W,3 - 21,U,mittel  D
Schönefelder Chaussee,TrKö,O 168 A,- 170,G,mittel * D,,Schönfließer Straße,Rein,W,27 - 125,U,gut  D
Schönefelder Chaussee,TrKö,O 169,- 185,U,mittel  D,,Schönfließer Straße,Rein,W,86,G,gut * D
Schönefelder Chaussee,TrKö,O 170 A,- 170 C,G,mittel  D,,Schönfließer Straße,Rein,W,88 - 130,G,gut  D
Schönefelder Chaussee,TrKö,O 172,- 174,G,mittel * D,,Schongauerstraße,MaHe,O,1 - 37,U,einfach  D
Schönefelder Chaussee,TrKö,O 187,- 189,U,einfach  D,,Schongauerstraße,MaHe,O,2 - 34,G,einfach  D
Schönefelder Chaussee,TrKö,O 188,,G,einfach * D,,Schongauerstraße,MaHe,O,36 - 40,G,einfach * D
Schönefelder Chaussee,TrKö,O 191,- 257,U,mittel  D,,Schongauerstraße,MaHe,O,39,U,einfach * D
Schönefelder Straße,Neuk,W 1,- 7,U,mittel * D,,Schönhauser Allee,Pank,O,5 - 8,F,gut * Z
Schönefelder Straße,Neuk,W 2,,G,mittel * D,,Schönhauser Allee,Pank,O,8 A - 8 B,F,gut Z
Schönefelder Straße,Neuk,W 4,- 96,G,mittel  D,,Schönhauser Allee,Pank,O,9 - 58 A,F,gut * Z
Schönefelder Straße,Neuk,W 7 A,- 77,U,mittel  D,,Schönhauser Allee,Pank,O,58 C - 58 D,F,gut Z
Schönefelder Straße,Neuk,W 83,- 95,U,einfach  D,,Schönhauser Allee,Pank,O,59 - 72 C,F,gut * Z
Schönefelder Straße,Neuk,W 100,,G,einfach  D,,Schönhauser Allee,Pank,O,72 D - 73,F,gut Z
Schönefelder Straße,Neuk,W 137,- 187,U,mittel  D,,Schönhauser Allee,Pank,O,74 - 75,F,gut * Z
Schönefelder Straße,Neuk,W 150,- 170,G,mittel  D,,Schönhauser Allee,Pank,O,79 - 118 A,F,mittel * Z
Schönegarten,Mitt,W,,K,einfach Z,,Schönhauser Allee,Pank,O,120 - 122,F,gut * Z
Schöneicher Straße,Lich,O 1,,F,mittel * D,,Schönhauser Allee,Pank,O,122 A,F,gut Z
Schöneicher Straße,Lich,O 1 A,- 18,F,mittel  D,,Schönhauser Allee,Pank,O,123 - 141 A,F,gut * Z
Schöneicher Straße,TrKö,O 1,- 19,F,gut * Z,,Schönhauser Allee,Pank,O,141 B - 141 C,F,gut Z
Schöneicher Straße,TrKö,O 20,- 36 A,F,gut Z,,Schönhauser Allee,Pank,O,142 - 149,F,gut * Z
Schöneicher Straße,TrKö,O 37,,F,gut * Z,,Schönhauser Allee,Pank,O,149 A,F,gut Z
Schöneicher Straße,TrKö,O 38,- 39,F,gut Z,,Schönhauser Allee,Pank,O,150 - 158 B,F,gut * Z
Schöneicher Straße,TrKö,O 40,- 42,F,gut * Z,,Schönhauser Allee,Pank,O,158 C - 158 D,F,gut Z
Schöneicher Straße,TrKö,O 43,,F,mittel * Z,,Schönhauser Allee,Pank,O,159 - 162,F,gut * Z
Schöneicher Straße,TrKö,O 44,- 54,F,mittel Z,,Schönhauser Allee,Pank,O,162 A,F,gut Z
Schöneicher Straße,TrKö,O 55,,F,mittel * Z,,Schönhauser Allee,Pank,O,163,F,gut * Z
Schöneicher Straße,TrKö,O 100,- 103,F,mittel * D,,Schönhauser Allee,Pank,O,163 A - 163 C,F,gut Z
Schöneicher Straße,TrKö,O 104,- 106,F,mittel  D,,Schönhauser Allee,Pank,O,164 - 167 A,F,gut * Z
Schöneicher Straße,TrKö,O 107,,F,mittel * D,,Schönhauser Allee,Pank,O,167 B,F,gut Z
Schonensche Straße,Pank,O 1,- 2,F,mittel * Z,,Schönhauser Allee,Pank,O,167 C - 168,F,gut * Z
Schonensche Straße,Pank,O 2 A,- 20 A,F,mittel Z,,Schönhauser Allee,Pank,O,168 A,F,gut Z
Straßenname1,Bezirk2,G3,Hausnr.4,B5,WL6 WL7,,Straßenname1,Bezirk2,G3,Hausnr.4,B5,WL6 WL7
Schönhauser Allee,Pank,O,169,F,gut * Z,,Schönhauser Straße (Roset),Pank,O,52 A,F,einfach  D
Schönhauser Allee,Pank,O,169 A,F,gut Z,,Schönhauser Straße (Roset),Pank,O,52 B,F,einfach * D
Schönhauser Allee,Pank,O,170 - 188,F,gut * Z,,Schönhauser Straße (Roset),Pank,O,53,F,einfach  D
Schönhauser Straße,StZe,W,,K,mittel Z,,Schönhauser Straße (Roset),Pank,O,53 A,F,einfach * D
Schönhauser Straße (FrzBu),Pank,O,1,U,einfach  D,,Schönhauser Straße (Roset),Pank,O,54 - 54 K,F,einfach  D
Schönhauser Straße (FrzBu),Pank,O,2 - 4,G,einfach * D,,Schönhauser Straße (Roset),Pank,O,54 L - 55 D,F,einfach * D
Schönhauser Straße (FrzBu),Pank,O,5,U,einfach * D,,Schönhauser Straße (Roset),Pank,O,55 E - 56 M,F,einfach  D
Schönhauser Straße (FrzBu),Pank,O,6,G,einfach  D,,Schönhauser Straße (Roset),Pank,O,56 N,F,einfach * D
Schönhauser Straße (FrzBu),Pank,O,7 - 9,U,einfach  D,,Schönhauser Straße (Roset),Pank,O,57 - 58,F,mittel * D
Schönhauser Straße (FrzBu),Pank,O,8 - 10,G,einfach * D,,Schönhauser Straße (Roset),Pank,O,58 A - 58 C,F,mittel  D
Schönhauser Straße (FrzBu),Pank,O,10 A,G,einfach  D,,Schönhauser Straße (Roset),Pank,O,58 D,F,mittel * D
Schönhauser Straße (FrzBu),Pank,O,10 B - 38,G,einfach * D,,Schönhauser Straße (Roset),Pank,O,59 - 59 E,F,mittel  D
Schönhauser Straße (FrzBu),Pank,O,11,U,einfach * D,,Schönhauser Straße (Roset),Pank,O,60 - 67 A,F,mittel * D
Schönhauser Straße (FrzBu),Pank,O,13 - 17,U,einfach  D,,Schönhauser Straße (Roset),Pank,O,67 B,F,mittel  D
Schönhauser Straße (FrzBu),Pank,O,17 B,U,einfach * D,,Schönhauser Straße (Roset),Pank,O,67 D - 70,F,mittel * D
Schönhauser Straße (FrzBu),Pank,O,17 C - 19,U,einfach  D,,Schönhauser Straße (Roset),Pank,O,70 A - 71,F,mittel  D
Schönhauser Straße (FrzBu),Pank,O,19 A - 19 B,U,einfach * D,,Schönhauser Straße (Roset),Pank,O,72 - 73,F,mittel * D
Schönhauser Straße (FrzBu),Pank,O,19 C - 27 A,U,einfach  D,,Schönhauser Straße (Roset),Pank,O,73 A - 73 B,F,mittel  D
Schönhauser Straße (FrzBu),Pank,O,27 B - 27 H,U,einfach * D,,Schönhauser Straße (Roset),Pank,O,73 C - 81,F,mittel * D
Schönhauser Straße (FrzBu),Pank,O,29 - 37,U,einfach  D,,Schönherrstraße,MaHe,O,,K,mittel  D
Schönhauser Straße (FrzBu),Pank,O,37 A - 45,U,einfach * D,,Schönholzer Straße,Mitt,O,1,F,gut * Z
Schönhauser Straße (FrzBu),Pank,O,45 A,U,einfach  D,,Schönholzer Straße,Mitt,O,1 A - 20,F,gut Z
Schönhauser Straße (FrzBu),Pank,O,49 - 55,U,mittel * D,,Schönholzer Straße,Mitt,O,21 - 22,F,gut * Z
Schönhauser Straße (FrzBu),Pank,O,52 - 54,G,mittel * D,,Schönholzer Straße,Pank,O,1 - 4 A,F,mittel * Z
Schönhauser Straße (FrzBu),Pank,O,56 - 58 E,G,mittel  D,,Schönholzer Straße,Pank,O,4 C - 4 D,F,mittel Z
Schönhauser Straße (FrzBu),Pank,O,57,U,mittel  D,,Schönholzer Straße,Pank,O,4 E - 4 F,F,mittel * Z
Schönhauser Straße (FrzBu),Pank,O,59 - 67,U,mittel * D,,Schönholzer Straße,Pank,O,5,F,mittel Z
Schönhauser Straße (FrzBu),Pank,O,60 - 60 A,G,mittel * D,,Schönholzer Straße,Pank,O,6 - 14,F,mittel * Z
Schönhauser Straße (FrzBu),Pank,O,62 - 90,G,mittel  D,,Schönholzer Weg,Pank,O,1 - 11 C,F,mittel  D
Schönhauser Straße (FrzBu),Pank,O,77 - 121,U,mittel  D,,Schönholzer Weg,Pank,O,11 D - 13,F,mittel * D
Schönhauser Straße (FrzBu),Pank,O,92,G,mittel * D,,Schönholzer Weg,Pank,O,13 A,F,mittel  D
Schönhauser Straße (FrzBu),Pank,O,92 A - 122,G,mittel  D,,Schönholzer Weg,Pank,O,14 - 14 A,F,mittel * D
Schönhauser Straße (FrzBu),Pank,O,121 A,U,mittel * D,,Schönholzer Weg,Pank,O,14 B - 14 D,F,mittel  D
Schönhauser Straße (FrzBu),Pank,O,121 B - 121 C,U,mittel  D,,Schönholzer Weg,Pank,O,15 - 18 C,F,mittel * D
Schönhauser Straße (FrzBu),Pank,O,121 D,U,mittel * D,,Schönholzer Weg,Pank,O,19 - 20 A,F,mittel  D
Schönhauser Straße (FrzBu),Pank,O,123,U,mittel  D,,Schönholzer Weg,Pank,O,21 - 23 B,F,mittel * D
Schönhauser Straße (FrzBu),Pank,O,124 - 126,G,mittel * D,,Schönholzer Weg,Pank,O,24 - 43,F,mittel  D
Schönhauser Straße (FrzBu),Pank,O,125,U,mittel * D,,Schönholzer Weg,Pank,O,44,F,mittel * D
Schönhauser Straße (Nieds),Pank,O,37 A - 37 C,F,mittel * D,,Schönhorster Straße,TrKö,O,,K,einfach  D
Schönhauser Straße (Nieds),Pank,O,37 D - 37 E,F,mittel  D,,Schöningstraße,Mitt,W,1,F,einfach * Z
Schönhauser Straße (Roset),Pank,O,1,F,mittel  D,,Schöningstraße,Mitt,W,2 - 23,F,einfach Z
Schönhauser Straße (Roset),Pank,O,2 - 3,F,mittel * D,,Schöningstraße,Mitt,W,24,F,einfach * Z
Schönhauser Straße (Roset),Pank,O,3 A,F,mittel  D,,Schönleinstraße,FrKr,W,2,F,mittel * Z
Schönhauser Straße (Roset),Pank,O,4 - 5,F,mittel * D,,Schönleinstraße,FrKr,W,3 - 9,F,mittel Z
Schönhauser Straße (Roset),Pank,O,5 A,F,mittel  D,,Schönleinstraße,FrKr,W,10 - 19,F,einfach Z
Schönhauser Straße (Roset),Pank,O,6 - 14,F,mittel * D,,Schönleinstraße,FrKr,W,20,F,einfach * Z
Schönhauser Straße (Roset),Pank,O,14 A - 15,F,mittel  D,,Schönleinstraße,FrKr,W,22 - 34,F,einfach Z
Schönhauser Straße (Roset),Pank,O,16,F,mittel * D,,Schönleinstraße,FrKr,W,35,F,einfach * Z
Schönhauser Straße (Roset),Pank,O,16 A - 17 A,F,mittel  D,,Schönower Straße,StZe,W,1 - 1 A,F,gut Z
Schönhauser Straße (Roset),Pank,O,18 - 18 A,F,mittel * D,,Schönower Straße,StZe,W,3 - 6,F,gut * Z
Schönhauser Straße (Roset),Pank,O,18 B - 18 D,F,mittel  D,,Schönower Straße,StZe,W,7,F,gut Z
Schönhauser Straße (Roset),Pank,O,19,F,mittel * D,,Schönower Straße,StZe,W,8 - 10,F,gut * Z
Schönhauser Straße (Roset),Pank,O,19 A - 19 C,F,mittel  D,,Schönower Straße,StZe,W,11 - 12,F,gut Z
Schönhauser Straße (Roset),Pank,O,20 - 21,F,mittel * D,,Schönstedtstraße,Mitt,W,,K,einfach Z
Schönhauser Straße (Roset),Pank,O,21 C - 21 M,F,mittel  D,,Schönstedtstraße,Neuk,W,6 - 9,F,einfach Z
Schönhauser Straße (Roset),Pank,O,22 A,F,einfach * D,,Schönstedtstraße,Neuk,W,10 - 11,F,einfach * Z
Schönhauser Straße (Roset),Pank,O,22 B - 22 L,F,einfach  D,,Schönstedtstraße,Neuk,W,12 - 17,F,einfach Z
Schönhauser Straße (Roset),Pank,O,22 M - 25 A,F,einfach * D,,Schönstraße,Pank,O,1,F,gut * D
Schönhauser Straße (Roset),Pank,O,25 B,F,einfach  D,,Schönstraße,Pank,O,1 A - 40,F,gut  D
Schönhauser Straße (Roset),Pank,O,26,F,einfach * D,,Schönstraße,Pank,O,41 - 49,F,mittel  D
Schönhauser Straße (Roset),Pank,O,26 A,F,einfach  D,,Schönstraße,Pank,O,50 - 52,F,mittel * D
Schönhauser Straße (Roset),Pank,O,26 B - 28,F,einfach * D,,Schönstraße,Pank,O,53 - 70 A,F,mittel  D
Schönhauser Straße (Roset),Pank,O,28 A - 31,F,einfach  D,,Schönstraße,Pank,O,80 - 96,F,gut  D
Schönhauser Straße (Roset),Pank,O,31 A,F,einfach * D,,Schönstraße,Pank,O,97,F,gut * D
Schönhauser Straße (Roset),Pank,O,32,F,einfach  D,,Schöntaler Weg,TrKö,O,2 - 10,F,mittel * D
Schönhauser Straße (Roset),Pank,O,32 A - 36 B,F,einfach * D,,Schöntaler Weg,TrKö,O,15 - 19,F,mittel  D
Schönhauser Straße (Roset),Pank,O,38 - 43 A,F,mittel * D,,Schonungsweg,TrKö,O,,K,einfach  D
Schönhauser Straße (Roset),Pank,O,43 B - 46,F,einfach * D,,Schönwalder Allee,Span,W,22,F,mittel * D
Schönhauser Straße (Roset),Pank,O,46 A - 46 B,F,einfach  D,,Schönwalder Allee,Span,W,26 - 51 B,F,mittel  D
Schönhauser Straße (Roset),Pank,O,47 - 48 A,F,einfach * D,,Schönwalder Allee,Span,W,53 - 74,F,mittel * D
Schönhauser Straße (Roset),Pank,O,48 B,F,einfach  D,,Schönwalder Straße,Mitt,W,1,F,einfach Z
Schönhauser Straße (Roset),Pank,O,48 C - 51 B,F,einfach * D,,Schönwalder Straße,Mitt,W,2 - 3,F,einfach * Z
Schönhauser Straße (Roset),Pank,O,51 C - 51 G,F,einfach  D,,Schönwalder Straße,Mitt,W,4,F,einfach Z
Schönhauser Straße (Roset),Pank,O,52,F,einfach * D,,Schönwalder Straße,Mitt,W,9 - 30,F,einfach * Z
Straßenname1,Bezirk2,G3,Hausnr.4,B5,WL6 WL7,,Straßenname1,Bezirk2,G3,Hausnr.4,B5,WL6 WL7
Schönwalder Straße,Span,W,1 - 7,F,einfach * Z,,Schreinerstraße,FrKr,O,2 - 63 A,F,gut Z
Schönwalder Straße,Span,W,8 - 56,F,einfach * D,,Schreinerstraße,FrKr,O,64 - 64 A,F,gut * Z
Schönwalder Straße,Span,W,56 A,F,einfach  D,,Schriftsetzerweg,Neuk,W,,K,mittel  D
Schönwalder Straße,Span,W,57 - 111,F,einfach * D,,Schrimmer Weg,Neuk,W,,K,einfach  D
Schopenhauerstraße,StZe,W,5 - 35,U,gut  D,,Schrobsdorffstraße,MaHe,O,,K,mittel  D
Schopenhauerstraße,StZe,W,6 - 34 A,G,gut  D,,Schrockstraße,StZe,W,1 - 23 B,U,gut Z
Schopenhauerstraße,StZe,W,39,U,gut * D,,Schrockstraße,StZe,W,2 - 24,G,gut Z
Schopenhauerstraße,StZe,W,40,G,gut * D,,Schrockstraße,StZe,W,25 - 29,U,gut * Z
Schopenhauerstraße,StZe,W,42 - 90,G,gut  D,,Schrockstraße,StZe,W,26,G,gut * Z
Schopenhauerstraße,StZe,W,43 - 97,U,gut  D,,Schrockstraße,StZe,W,31 - 37,U,gut Z
Schopfheimer Straße,StZe,W,3 - 25,U,mittel  D,,Schrockstraße,StZe,W,32 - 34,G,gut Z
Schopfheimer Straße,StZe,W,4 - 12,G,mittel  D,,Schrodaer Straße,MaHe,O,2 - 8 A,G,mittel * D
Schopfheimer Straße,StZe,W,14,G,mittel * D,,Schrodaer Straße,MaHe,O,10 - 12,G,mittel  D
Schopfheimer Straße,StZe,W,27,U,mittel * D,,Schrodaer Straße,MaHe,O,14,G,mittel * D
Schöppinger Straße,StZe,W,,K,einfach  D,,Schrodaer Straße,MaHe,O,16 - 22,G,mittel  D
Schorfheidestraße,MaHe,O,2 - 10,G,einfach  D,,Schröderstraße,Mitt,O,,K,gut Z
Schorfheidestraße,MaHe,O,12 - 26,G,einfach * D,,Schubartstraße,Rein,W,1 - 3,U,einfach * D
Schorfheidestraße,MaHe,O,28 - 42,G,einfach  D,,Schubartstraße,Rein,W,2,G,einfach * D
Schorfheidestraße,MaHe,O,46,G,einfach * D,,Schubartstraße,Rein,W,4 - 82,G,einfach  D
Schorfheidestraße,MaHe,O,48 - 50,G,einfach  D,,Schubartstraße,Rein,W,5 - 77,U,einfach  D
Schorfheidestraße,MaHe,O,52,G,einfach * D,,Schubertstraße,MaHe,O,,K,mittel  D
Schorfheidestraße,Rein,W,5 - 11,U,einfach * D,,Schubertstraße,StZe,W,,K,gut * D
Schorfheidestraße,Rein,W,10 - 34,G,mittel * D,,Schubertstraße,TrKö,O,1 - 13,U,mittel  D
Schorfheidestraße,Rein,W,15,U,mittel  D,,Schubertstraße,TrKö,O,2 - 12,G,mittel  D
Schorfheidestraße,Rein,W,17 - 31,U,mittel * D,,Schubertstraße,TrKö,O,14 - 26,G,mittel * D
Schorfheidestraße,Rein,W,31 A,U,mittel  D,,Schubertstraße,TrKö,O,15 - 35,U,mittel * Z
Schorfheidestraße,Rein,W,33 - 43 C,U,mittel * D,,Schuchardtweg,StZe,W,1,U,gut * D
Schorlemerallee,StZe,W,1 - 7 A,U,gut * D,,Schuchardtweg,StZe,W,2,G,gut * D
Schorlemerallee,StZe,W,6 - 12 A,G,gut * D,,Schuchardtweg,StZe,W,3 - 13,U,gut  D
Schorlemerallee,StZe,W,9 - 23 A,U,gut  D,,Schuchardtweg,StZe,W,6 - 20,G,gut  D
Schorlemerallee,StZe,W,12 B - 40,G,gut  D,,Schuckertdamm,Span,W,,K,einfach Z
Schorlemerallee,StZe,W,39,U,gut * D,,Schuckertplatz,Span,W,,K,einfach Z
Schorlemerallee,StZe,W,44 - 46,G,gut * D,,Schudomastraße,Neuk,W,3 - 6,F,mittel Z
Schottburger Straße,TSch,W,,K,mittel  D,,Schudomastraße,Neuk,W,7 - 25,F,einfach Z
Schottmüllerstraße,StZe,W,1 - 33,U,gut  D,,Schudomastraße,Neuk,W,26,F,einfach * Z
Schottmüllerstraße,StZe,W,2 - 34 A,G,gut  D,,Schudomastraße,Neuk,W,26 A,F,einfach Z
Schottmüllerstraße,StZe,W,37 - 123,U,mittel  D,,Schudomastraße,Neuk,W,27 - 30,F,einfach * Z
Schottmüllerstraße,StZe,W,38 - 128,G,mittel  D,,Schudomastraße,Neuk,W,31 - 46,F,einfach Z
Schottstraße,Lich,O,2 - 14,G,mittel * Z,,Schudomastraße,Neuk,W,48 - 52,F,mittel Z
Schottstraße,Lich,O,3 - 25,U,mittel * Z,,Schulenburgring,TSch,W,1 - 128,F,mittel Z
Schottstraße,Lich,O,16 - 20,G,mittel Z,,Schulenburgring,TSch,W,129,F,mittel * Z
Schottstraße,Lich,O,22 - 28,G,mittel * Z,,Schulenburgring,TSch,W,130 - 132,F,mittel Z
Schottstraße,Lich,O,30 - 50,G,mittel Z,,Schulenburgstraße,Rein,W,1 - 2,F,mittel * D
Schottstraße,Lich,O,31 - 49,U,mittel Z,,Schulenburgstraße,Rein,W,3 - 17,F,mittel  D
Schraderstraße,TrKö,O,1,F,mittel * D,,Schulenburgstraße,Rein,W,18,F,mittel * D
Schraderstraße,TrKö,O,2 - 16,F,mittel  D,,Schulenburgstraße,Span,W,10 - 14,G,einfach * D
Schraderstraße,TrKö,O,17,F,mittel * D,,Schulenburgstraße,Span,W,16 - 20,G,einfach  D
Schragenfeldstraße,MaHe,O,2 - 42,G,einfach  D,,Schulenburgstraße,Span,W,22 - 24,G,einfach * D
Schragenfeldstraße,MaHe,O,3 - 5,U,einfach  D,,Schülerbergstraße,Span,W,,K,einfach * D
Schragenfeldstraße,MaHe,O,9 - 11,U,einfach * D,,Schulgasse,MaHe,O,,K,einfach  D
Schragenfeldstraße,MaHe,O,11 A,U,einfach  D,,Schulstraße,MaHe,O,1 - 34,F,mittel  D
Schragenfeldstraße,MaHe,O,11 B,U,einfach * D,,Schulstraße,MaHe,O,35,F,mittel * D
Schragenfeldstraße,MaHe,O,11 C - 27,U,einfach  D,,Schulstraße,MaHe,O,36 - 44,F,mittel  D
Schräger Weg,Pank,O,1 - 2,F,mittel * D,,Schulstraße,Mitt,W,5 - 44,F,einfach * Z
Schräger Weg,Pank,O,3 - 40,F,mittel  D,,Schulstraße,Mitt,W,44 A,F,einfach Z
Schräger Weg,Pank,O,41 - 44 B,F,mittel * D,,Schulstraße,Mitt,W,45,F,einfach * Z
Schramberger Straße,Rein,W,,K,gut  D,,Schulstraße,Mitt,W,45 A,F,einfach Z
Schrammsteinweg,Pank,O,,K,einfach  D,,Schulstraße,Mitt,W,46 - 47,F,einfach * Z
Schrammstraße,ChWi,W,,K,gut Z,,Schulstraße,Mitt,W,48 - 48 A,F,einfach Z
Schrebergasse,TrKö,O,,K,mittel  D,,Schulstraße,Mitt,W,49,F,einfach * Z
Schreberstraße,StZe,W,,K,gut Z,,Schulstraße,Mitt,W,49 A,F,einfach Z
Schreckenbachstraße,Pank,O,,K,mittel  D,,Schulstraße,Mitt,W,50,F,einfach * Z
Schreckhornweg,Pank,O,,K,mittel  D,,Schulstraße,Mitt,W,50 A,F,einfach Z
Schreiberhauer Straße,Lich,O,1 - 9,U,mittel * D,,Schulstraße,Mitt,W,51,F,einfach * Z
Schreiberhauer Straße,Lich,O,2 - 30,G,einfach  D,,Schulstraße,Mitt,W,51 A,F,einfach Z
Schreiberhauer Straße,Lich,O,9 A - 45,U,mittel  D,,Schulstraße,Mitt,W,52 - 54,F,einfach * Z
Schreiberhauer Straße,Lich,O,48,G,mittel * D,,Schulstraße,Mitt,W,54 A - 54 B,F,einfach Z
Schreiberring,TSch,W,1 - 23,U,mittel Z,,Schulstraße,Mitt,W,56 - 58,F,einfach * Z
Schreiberring,TSch,W,24,G,mittel * Z,,Schulstraße,Mitt,W,59,F,einfach Z
Schreiberring,TSch,W,25,U,mittel * Z,,Schulstraße,Mitt,W,97 - 98,F,einfach * Z
Schreiberring,TSch,W,27 - 29,U,mittel Z,,Schulstraße,Mitt,W,98 A,F,einfach Z
Schreiberring,TSch,W,31,U,mittel * Z,,Schulstraße,Mitt,W,99 - 119,F,einfach * Z
Schreiberring,TSch,W,35 - 37,U,mittel Z,,Schulstraße,Pank,O,1 - 2,F,mittel * Z
Schreinerstraße,FrKr,O,1,F,gut * Z,,Schulstraße,Pank,O,2 A - 30,F,mittel Z
Straßenname1,Bezirk2,G3,Hausnr.4,B5,WL6 WL7,,Straßenname1,Bezirk2,G3,Hausnr.4,B5,WL6 WL7
Schulstraße,Pank,O,31,F,mittel * Z,,Schützallee,StZe,W,1 - 43,U,gut Z
Schulstraße,Rein,W,,K,gut Z,,Schützallee,StZe,W,2 - 42,G,gut  D
Schulstraße,Span,O,1,F,einfach * D,,Schützallee,StZe,W,44,G,gut * D
Schulstraße,Span,O,1 A - 80,F,einfach  D,,Schützallee,StZe,W,45,U,gut * Z
Schulstraße,Span,O,80 A - 80 C,F,einfach * D,,Schützallee,StZe,W,46 - 134,G,gut  D
Schulstraße (Lankw),StZe,W,1,U,gut * D,,Schützallee,StZe,W,49 - 65,U,gut Z
Schulstraße (Lankw),StZe,W,1 A - 11 B,U,gut  D,,Schützallee,StZe,W,69 - 129,U,gut  D
Schulstraße (Lankw),StZe,W,2,G,mittel * D,,Schützallee,StZe,W,131 - 135,U,gut * D
Schulstraße (Lankw),StZe,W,2 A - 6 A,G,mittel  D,,Schützallee,StZe,W,136,G,gut * D
Schulstraße (Lankw),StZe,W,13 - 21,U,mittel  D,,Schützenstraße,Mitt,O,5 - 73,F,mittel Z
Schulstraße (Lankw),StZe,W,14 - 30,G,gut  D,,Schützenstraße,Mitt,O,78,F,mittel * Z
