Rohrwallallee,TrKö O,2 - 42,G,mittel,Rose-Scheuer-Karpin-Straße,Pank O,,K,einfach
Rohrwallallee,TrKö O,45 - 107,U,einfach,Rosestraße,TrKö O,,K,mittel
Rohrwallallee,TrKö O,46 - 106,G,einfach,Rosmarinstraße,Mitt O,,K,gut
Rohrweihstraße,Rein W,,K,mittel,Rösnerstraße,StZe W,,K,gut
Röländer Straße,Pank O,,K,mittel,Roßbachstraße,TSch W,,K,mittel
Roland-Krüger-Straße,Neuk W,,K,einfach,Rossinistraße,Pank O,,K,gut
Rolandseck,Lich O,1 - 4,F,gut,Rosskastanienhof,Pank O,,K,mittel
Rolandseck,Lich O,4 A,F,mittel,Roßlauer Straße,MaHe O,,K,mittel
Rolandseck,Lich O,5 - 9,F,gut,Roßmäßlerstraße,Lich O,,K,mittel
Rolandstraße,Pank O,,K,mittel,Roßweiner Ring,MaHe O,,K,mittel
Rolandstraße,StZe W,,K,gut,Rostocker Straße,Lich O,,K,einfach
Rolandufer,Mitt O,5 - 6,F,mittel,Rostocker Straße,Mitt W,,K,einfach
Rolandufer,Mitt O,13 - 18,F,gut,Rostsperlingweg,Pank O,3 - 27,F,einfach
Rollbergstraße (Neukö),Neuk W,,K,einfach,Rostsperlingweg,Pank O,31 - 121,F,mittel
Rollenhagenweg,Span W,,K,gut,Roswithastraße,Rein W,,K,gut
Rollettweg,TrKö O,,K,mittel,Rotbuchenweg,Rein W,,K,einfach
Romain-Rolland-Straße,Pank O,2 - 178,G,mittel,Rotdornallee,MaHe O,,K,gut
Romain-Rolland-Straße,Pank O,13 - 13 A,U,mittel,Rotdornstraße,TSch W,,K,gut
Romain-Rolland-Straße,Pank O,15,U,einfach,Rotdornweg,StZe W,,K,mittel
Romain-Rolland-Straße,Pank O,25 - 171,U,mittel,Rote-Kreuz-Straße,StZe W,,K,mittel
Romanshorner Weg,Rein W,,K,einfach,Rotenfelser Weg,StZe W,,K,mittel
Rombiner Weg,TrKö O,,K,mittel,Rotenkruger Weg,TSch W,2 - 27,F,mittel
Rombsweg,StZe W,,K,gut,Rotenkruger Weg,TSch W,28 - 39,F,einfach
Römerweg,Lich O,30 - 42,G,gut,Rotenkruger Weg,TSch W,40 - 63,F,mittel
Römerweg,Lich O,39 - 45,U,gut,Rotenkruger Weg,TSch W,64 - 75 A,F,einfach
Römerweg,Lich O,51 - 121,U,mittel,Rotenkruger Weg,TSch W,77 - 100,F,mittel
Römerweg,Lich O,54 - 120,G,mittel,Rothariweg,TSch W,,K,mittel
Rominter Allee,ChWi W,1 - 3,U,gut,Rothenbachstraße,Pank O,,K,mittel
Rominter Allee,ChWi W,2,G,mittel,Rothenbücherweg,Span W,,K,mittel
Rominter Allee,ChWi W,5 - 7,U,mittel,Rothenburger Weg,Span W,,K,mittel
Romy-Schneider-Straße,Span W,,K,einfach,Rothenburgstraße,StZe W,,K,gut
Rondellstraße,StZe W,,K,gut,Rotherstieg,StZe W,,K,mittel
Rönnestraße,ChWi W,,K,gut,Rotherstraße,FrKr O,,K,mittel
Röntgenstraße,ChWi W,,K,mittel,Rötheweg,StZe W,,K,gut
Röntgentaler Weg,Pank O,,K,einfach,Röthspitzenweg,TSch W,,K,mittel
Roonstraße,Span W,,K,einfach,Rotkamp,Lich O,,K,mittel
Roonstraße (Lifel),StZe W,,K,mittel,Rotkäppchenstraße,TrKö O,,K,mittel
Roonstraße (Zehld),StZe W,,K,gut,Rotkardinalweg,Pank O,4 - 40,F,einfach
Rorschacher Zeile,Rein W,,K,einfach,Rotkardinalweg,Pank O,42 - 78,F,mittel
Rosa-Coutelle-Straße,Pank O,,K,einfach,Rotkehlchenweg,Neuk W,,K,einfach
Rosa-Luxemburg-Platz,Mitt O,,K,gut,Rotkehlchenweg,TrKö O,,K,einfach
Rosa-Luxemburg-Straße,Mitt O,,K,gut,Rotkleeweg,Pank O,,K,einfach
Rosa-Reinglass-Steig,Span W,,K,einfach,Rotkopfweg,TSch W,,K,mittel
Rosa-Valetti-Straße,MaHe O,,K,mittel,Rotraudstraße,MaHe O,,K,mittel
Roscherstraße,ChWi W,,K,gut,Rotraut-Richter-Platz,Neuk W,,K,einfach
Roseggerstraße,MaHe O,,K,gut,Rotschwanzweg,Neuk W,,K,einfach
Roseggerstraße,Neuk W,,K,einfach,Rotsteinweg,Pank O,,K,einfach
Rosenapfelweg,Pank O,1 - 25,U,einfach,Rottannenweg,ChWi W,,K,mittel
Rosenapfelweg,Pank O,2 - 18,G,mittel,Röttenbacher Weg,Span W,,K,gut
Rosenapfelweg,Pank O,24 - 28,G,einfach,Röttkenring,Lich O,2 - 32,G,mittel
Rosenbauchfinkweg,Pank O,,K,einfach,Röttkenring,Lich O,11,U,einfach
Rosenbecker Straße,MaHe O,,K,einfach,Röttkenring,Lich O,27 - 41,U,mittel
Rosenfelder Ring,Lich O,,K,einfach,Rottweiler Straße,StZe W,,K,mittel
Rosenfelder Straße,Lich O,1 - 5 A,F,einfach,Rotwildpfad,Rein W,,K,mittel
Rosenfelder Straße,Lich O,8 - 18,F,mittel,Rousseauweg,Pank O,,K,mittel
Rosenfelder Straße,Lich O,19 - 30,F,einfach,Rowanweg,Span W,,K,einfach
Straßenname1,Bezirk2 G3,Hausnr.4,B5,WL6,Straßenname1,Bezirk2 G3 Hausnr.4,,B5,WL6
Rübelandstraße,Neuk W,,K,einfach,Rue du Dr. Roux,Rein W,,K,einfach
Rubensstraße,MaHe O,,K,mittel,Rue Georges Vallerey,Rein W,,K,mittel
Rubensstraße,TSch W,1 - 47,U,gut,Rue Henri Guillaumet,Rein W,,K,mittel
Rubensstraße,TSch W,2 - 50,G,gut,Rue Hyacinthe Vincent,Rein W,,K,einfach
Rubensstraße,TSch W,51 A - 135,U,mittel,Rue Joseph le Brix,Rein W,,K,mittel
Rubensstraße,TSch W,54 - 132,G,mittel,Rue Marin la Meslée,Rein W,,K,mittel
Ruben-Wolf-Straße,TrKö O,,K,einfach,Rue Montesquieu,Rein W,,K,mittel
Rübezahl,TrKö O,,K,mittel,Rue Nungesser et Coli,Rein W,,K,mittel
Rübezahlallee,TrKö O,,K,einfach,Rue Racine,Rein W,,K,mittel
Rübezahlstraße,Neuk W,,K,einfach,Rufacher Weg,Neuk W,,K,einfach
Rübländerstraße,Pank O,,K,mittel,Rügener Straße,Mitt W,,K,einfach
Rubusweg,TrKö O,,K,mittel,Rügenwalder Weg,MaHe O,,K,mittel
Rückerstraße,Mitt O,,K,gut,Rugestraße,StZe W,,K,mittel
Rückertstraße,ChWi W,,K,mittel,Ruheplatzstraße,Mitt W,,K,einfach
Rückertstraße,StZe W,,K,gut,Ruhlaer Straße,ChWi W,,K,gut
Rudeloffweg,StZe W,,K,gut,Ruhlebener Straße,Span W,,K,einfach
Rudelsburgstraße,Pank O,,K,mittel,Ruhlsdorfer Straße,FrKr W,,K,mittel
Rudererweg,Span W,,K,mittel,Ruhlsdorfer Straße,MaHe O,,K,gut
Rüdersdorfer Straße,FrKr O,8 - 29,F,mittel,Rühmkorffstraße,StZe W,,K,mittel
Rüdersdorfer Straße,FrKr O,40 - 65,F,gut,Ruhrstraße,ChWi W,,K,mittel
Rüdersdorfer Straße,FrKr O,69 - 71,F,einfach,Ruhwaldweg,ChWi W 1,- 5,U,einfach
Rüdesheimer Platz,ChWi W,,K,gut,Ruhwaldweg,ChWi W 2,- 34,G,mittel
Rüdesheimer Straße,ChWi W,,K,gut,Ruhwaldweg,ChWi W 9,- 35,U,mittel
Rüdesheimer Straße,Rein W,,K,gut,Rumeyplan,TSch W,,K,mittel
Rudi-Arndt-Straße,Pank O,,K,mittel,Rummelsburger Landstraße,Lich O,,K,einfach
Rüdickenstraße,Lich O,2 - 20,G,einfach,Rummelsburger Landstraße,TrKö O,,K,einfach
Rüdickenstraße,Lich O,23 - 53,U,mittel,Rummelsburger Seeblick,Lich O,,K,mittel
Rüdickenstraße,Lich O,24 - 50,G,mittel,Rummelsburger Straße,Lich O,,K,mittel
Rudi-Dutschke-Straße,FrKr W,,K,einfach,Rummelsburger Straße,TrKö O,,K,einfach
Rüdigerstraße,Lich O,,K,mittel,Rumoldstraße,Lich O,,K,mittel
Rüdigerstraße,Pank O,,K,mittel,Rundhofer Pfad,Rein W,,K,mittel
Rüdnitzer Zeile,Rein W,,K,einfach,Rundlingsteig,Rein W,,K,mittel
Rudolf-Baschant-Straße,Pank O,,K,mittel,Rundpfuhlweg,Rein W,,K,einfach
Rudolf-Beyendorff-Ring,StZe W,,K,mittel,Rundweg,MaHe O,,K,mittel
Rudolf-Ditzen-Weg,Pank O,,K,gut,Runebergweg,Span W,,K,gut
Rudolf-Filter-Weg,MaHe O,,K,mittel,Runenzeile,Pank O,,K,mittel
Rudolf-Grosse-Straße,Lich O,,K,mittel,Rungestraße,Mitt O 1,- 11,F,gut
Rudolf-Leonhard-Straße,MaHe O,1 - 29,U,einfach,Rungestraße,Mitt O 12,- 29,F,mittel
Rudolf-Leonhard-Straße,MaHe O,2 - 10,G,mittel,Rungestraße,Mitt O 30,- 34,F,gut
Rudolf-Majut-Straße,Pank O,,K,gut,Rungiusstraße,Neuk W,,K,einfach
Rudolf-Mosse-Straße,ChWi W,,K,mittel,Rupertweg,Pank O,,K,mittel
Rudolf-Pechel-Straße,TSch W,,K,einfach,Ruppiner Chaussee,Rein W 2,- 80,G,gut
Rudolf-Reusch-Straße,Lich O,,K,mittel,Ruppiner Chaussee,Rein W 69,- 435,U,mittel
Rudolf-Rühl-Allee,TrKö O,,K,mittel,Ruppiner Chaussee,Rein W 240,- 408,G,mittel
Rudolf-Schwarz-Straße,Pank O,,K,gut,Ruppiner Straße,Mitt O 2,- 10,F,gut
Rudolf-Seiffert-Straße,Lich O,,K,mittel,Ruppiner Straße,Mitt W 15,- 39,F,einfach
Rudolf-Spitzley-Straße,Pank O,,K,mittel,Ruppiner Straße,Mitt O 40,- 49,F,gut
Rudolfstraße,FrKr O,,K,mittel,Ruppiner-See-Straße,Span W,,K,einfach
Rudolf-Virchow-Straße,MaHe O,,K,mittel,Rupprechtstraße,Lich O,,K,mittel
Rudolf-von-Gneist-Gasse,Mitt W,,K,gut,Ruschestraße,Lich O,,K,mittel
Rudolstädter Straße,ChWi W,,K,mittel,Rüsternallee,ChWi W,,K,gut
Rudower Chaussee,TrKö O,1 - 25,U,mittel,Rüsternallee,MaHe O,,K,gut
Rudower Chaussee,TrKö O,2 - 28 A,G,mittel,Rustweg,Span W,,K,mittel
Rudower Chaussee,TrKö O,29 - 47,U,einfach,Rutenzeile,Pank O,,K,mittel
Rudower Chaussee,TrKö O,30 - 54,G,einfach,Ruth-Baumgarte-Straße,Lich O,,K,mittel
Rudower Straße,Neuk W,1 - 131,U,einfach,Rutherfordstraße,TrKö O,,K,einfach
Rudower Straße,Neuk W,2 - 156,G,einfach,Ruthnerweg,StZe W,,K,mittel
Rudower Straße,Neuk W,133 - 199,U,mittel,Ruth-Stephan-Straße,Span W,,K,einfach
Rudower Straße,Neuk W,156 A - 200,G,mittel,Ruthstraße,StZe W,,K,mittel
Rudower Straße (Altgl),TrKö O,,K,einfach,Rütliplatz,StZe W,,K,mittel
Rudower Straße (Köpen),TrKö O,,K,einfach,Rütlistraße,Neuk W,,K,einfach
Rudower Straße (Niesw),TrKö O,2 - 3 A,F,mittel,Rütlistraße,Rein W,,K,einfach
Rudower Straße (Niesw),TrKö O,3 B - 5,F,einfach,Rutnikstraße,Lich O,,K,mittel
Rudower Straße (Niesw),TrKö O,7,F,mittel,Ruwersteig,MaHe O,,K,einfach
Rudower Straße (Niesw),TrKö O,9 - 11,F,einfach,Rybniker Straße,Pank O,,K,mittel
Rudower Straße (Niesw),TrKö O,12 - 13,F,mittel,Rykestraße,Pank O,,K,gut
Rudower Straße (Niesw),TrKö O,14,F,einfach,,,,,
Rue Ambroise Paré,Rein W,,K,einfach,S,,,,
Rue Charles Calmette,Rein W,,K,einfach,Saalburgstraße,TSch W,,K,einfach
Rue Diderot,Rein W,,K,mittel,Saaleckplatz,StZe W,,K,mittel
Rue Dominique Larrey,Rein W,,K,einfach,Saaler Bogen,Pank O,,K,mittel
Rue Doret,Rein W,,K,mittel,Saalestraße,Neuk W,,K,einfach
Rue du Capitaine Jean Maridor,Rein W,,K,mittel,Saalmannsteig,Rein W,,K,einfach
Rue du Commandant Jean Tulasne,Rein W,,K,mittel,Saalmannstraße,Rein W,,K,einfach
Straßenname1,Bezirk2 G3,Hausnr.4,B5,WL6,Straßenname1,Bezirk2 G3,Hausnr.4,B5,WL6
Saalower Straße,TSch W,,K,mittel,Sandschurrepfad,TrKö O,,K,einfach
Saarbrücker Straße,Pank O,,K,gut,Sandsteinweg,Neuk W,4 - 10,G,einfach
Saarburger Straße,StZe W,,K,gut,Sandsteinweg,Neuk W,17 A - 33,U,mittel
Saargemünder Straße,StZe W,,K,gut,Sandsteinweg,Neuk W,18 A - 24 B,G,mittel
Saarower Weg,TrKö O,,K,einfach,Sandstraße,Span W,20 - 48,G,einfach
Saarstraße,StZe W,,K,mittel,Sandstraße,Span W,21 - 55,U,einfach
Saarstraße,TSch W,,K,gut,Sandstraße,Span W,50 - 60,G,mittel
Saatwinkler Damm,ChWi W,,K,einfach,Sandstraße,Span W,64 - 66,G,einfach
Saatwinkler Damm,Span W,,K,einfach,Sangeallee,Lich O,,K,gut
Sabinensteig,Lich O,,K,mittel,Sangebuchtweg,StZe W,,K,gut
Sachsendamm,TSch W,,K,einfach,Sangerhauser Weg,Neuk W,1 - 11,U,mittel
Sachsenhauser Straße,TSch W,,K,einfach,Sangerhauser Weg,Neuk W,2 - 6,G,einfach
Sachsenstraße,Pank O,,K,mittel,Sangerhauser Weg,Neuk W,12,G,mittel
Sachsenstraße,TrKö O,,K,mittel,Sangestraße,Rein W,,K,mittel
Sachsenwaldstraße,StZe W,,K,mittel,Sankt-Galler-Straße,Rein W,,K,einfach
Sächsische Straße,ChWi W,,K,gut,Sansibarstraße,Mitt W,,K,einfach
Sachtlebenstraße,StZe W,,K,mittel,Säntisstraße,TSch W,2 - 46 C,G,mittel
Sadowastraße,Lich O,,K,mittel,Säntisstraße,TSch W,9 - 45,U,mittel
Sadowastraße,MaHe O,,K,mittel,Säntisstraße,TSch W,49 - 141,U,einfach
Safranammerweg,Pank O,,K,einfach,Säntisstraße,TSch W,56 - 128,G,einfach
Saganer Straße,Lich O,,K,mittel,Säntisstraße,TSch W,132 - 182,G,mittel
Sägebockweg,Pank O,,K,mittel,Säntisstraße,TSch W,157 - 183,U,mittel
Sagemühler Steig,Rein W,,K,mittel,Sarah-Kirsch-Straße,MaHe O,,K,einfach
Sagritzer Weg,Rein W,,K,mittel,Sarkauer Allee,ChWi W,,K,gut
Saint-Exupéry-Straße,Span W,,K,mittel,Sarner Weg,Pank O,,K,mittel
Sakrower Kirchweg,Span W,1 - 111 E,U,gut,Sarntaler Weg,StZe W,,K,mittel
Sakrower Kirchweg,Span W,4 - 28 A,G,mittel,Sarrazinstraße,TSch W,,K,gut
Sakrower Kirchweg,Span W,30 A - 108,G,gut,Saßnitzer Straße,ChWi W,,K,gut
Sakrower Landstraße,Span W,1 - 29,U,mittel,Sattlerstraße,Neuk W,,K,mittel
Sakrower Landstraße,Span W,2 - 10,G,mittel,Saturnstraße,Rein W,,K,einfach
Sakrower Landstraße,Span W,10 C - 150,G,gut,Satzkorner Weg,StZe W,,K,mittel
Sakrower Landstraße,Span W,31 - 145,U,gut,Sauerbruchstraße,StZe W,,K,gut
Salanderweg,MaHe O,,K,einfach,Sauerdornweg,Neuk W,,K,mittel
Salbeiweg,Neuk W,1 A - 13,U,einfach,Saupéweg,Pank O,,K,mittel
Salbeiweg,Neuk W,6 - 22,G,mittel,Sausenberger Straße,TrKö O,,K,mittel
Salbeiweg,Neuk W,15 - 21 B,U,mittel,Savignyplatz,ChWi W,,K,gut
Salchendorfer Weg,Span W,,K,einfach,Savoyenweg,Pank O,,K,einfach
Saldernstraße,ChWi W,,K,mittel,Scabellstraße,StZe W,,K,gut
Salemer Steig,StZe W,,K,gut,Schächentaler Weg,Pank O,,K,mittel
Salierstraße,TrKö O,,K,mittel,Schachtelhalmweg,TrKö O,,K,mittel
Sallgaster Straße,Rein W,,K,mittel,Schackelsterstraße,MaHe O,,K,mittel
Salmbacher Straße,Neuk W,,K,einfach,Schädestraße,StZe W,,K,gut
Saltykowstraße,Neuk W,,K,einfach,Schadowstraße,Mitt O,,K,gut
Salvador-Allende-Straße,TrKö O,,K,mittel,Schäferstege,Pank O,1 A - 1 B,F,einfach
Salzachstraße,StZe W,,K,gut,Schäferstege,Pank O,1 F - 25,F,mittel
Salzbrunner Straße,ChWi W,,K,gut,Schäferstraße,Span W,,K,einfach
Salzburger Straße,TSch W,1 - 20,F,gut,Schäferstraße,StZe W,,K,gut
Salzburger Straße,TSch W,21,F,mittel,Schaffhausener Straße,TSch W,,K,einfach
Salzmannstraße,Lich O,,K,mittel,Schalauer Straße,Pank O,,K,einfach
Salzufer,ChWi W,1 - 6,F,einfach,Schalkauer Straße,Lich O,,K,mittel
Salzufer,ChWi W,8 - 22,F,mittel,Schalloppstraße,StZe W,,K,mittel
Salzunger Pfad,StZe W,,K,mittel,Schallweg,Span W,26,G,gut
Salzunger Weg,Span W,,K,mittel,Schallweg,Span W,28 - 44 K,G,mittel
Salzwedeler Straße,Mitt W,,K,einfach,Schallweg,Span W,31,U,gut
Samariterstraße,FrKr O,1 - 12,F,mittel,Schambachweg,Span W,,K,gut
Samariterstraße,FrKr O,13 - 14,F,gut,Schandauer Straße,Neuk W,,K,einfach
Samariterstraße,FrKr O,15 - 28,F,mittel,Schaperstraße,ChWi W,,K,gut
Samariterstraße,FrKr O,29 - 33,F,gut,Schappachstraße,TrKö O,1 - 3,F,einfach
Samariterstraße,FrKr O,34 - 40,F,mittel,Schappachstraße,TrKö O,7 - 22,F,mittel
Sambesistraße,Mitt W,,K,einfach,Schappachstraße,TrKö O,25 - 34,F,einfach
Sameiskystraße,TSch W,,K,mittel,Schappachstraße,TrKö O,35,F,gut
Samländische Straße,Pank O,,K,mittel,Schareckstraße,TSch W,,K,mittel
Samoastraße,Mitt W,,K,einfach,Scharfe Lanke,Span W,,K,mittel
Samuel-Lewin-Straße,Lich O,,K,mittel,Scharfenberger Straße,Rein W,,K,mittel
Sandbacher Weg,TrKö O,,K,einfach,Scharfensteinstraße,Pank O,,K,mittel
Sandbergstraße,Pank O,,K,mittel,Scharfestraße,StZe W,,K,gut
Sanddornstraße,TrKö O,,K,mittel,Scharmützelseeweg,Span W,,K,einfach
Sanderstraße,Neuk W,1 - 22,F,mittel,Scharnauer Straße,MaHe O,,K,mittel
Sanderstraße,Neuk W,23 - 31 A,F,einfach,Scharnhorststraße,Mitt O,2 - 10,F,gut
Sandgrasweg,Rein W,,K,mittel,Scharnhorststraße,Mitt O,13 - 37,F,mittel
Sandhauser Straße,Rein W,,K,mittel,Scharnhorststraße,TSch W,,K,mittel
Sandheideweg,Span W,,K,mittel,Scharnweberstraße,FrKr O,1 - 16,F,mittel
Sandhofweg,StZe W,,K,mittel,Scharnweberstraße,FrKr O,18 - 52 A,F,gut
Sandinostraße,Lich O,,K,mittel,Scharnweberstraße,FrKr O,53 - 61,F,mittel
Straßenname1,Bezirk2 G3,Hausnr.4,B5,WL6,Straßenname1,Bezirk2 G3,Hausnr.4,B5,WL6
Scharnweberstraße,Lich O,,K,mittel,Schillerstraße,TSch W,,K,mittel
Scharnweberstraße,Mitt W,,K,einfach,Schillerstraße (Lifel),StZe W,2 - 10,F,mittel
Scharnweberstraße,Pank O,,K,mittel,Schillerstraße (Lifel),StZe W,10 A - 31,F,gut
Scharnweberstraße,Rein W,,K,einfach,Schillerstraße (Lifel),StZe W,34 - 36 A,F,mittel
Scharnweberstraße (Frihg),TrKö O,,K,gut,Schillerstraße (Nieds),Pank O,,K,mittel
Scharnweberstraße (Obers),TrKö O,2 - 40,G,mittel,Schillerstraße (Wilhe),Pank O,,K,mittel
Scharnweberstraße (Obers),TrKö O,19 - 37,U,einfach,Schillerstraße (Zehld),StZe W,,K,gut
Scharrenstraße,Mitt O,,K,gut,Schillingstraße,Mitt O,,K,mittel
Scharzhofberger Straße,StZe W,,K,mittel,Schillingstraße,Rein W,,K,einfach
Schäßburger Weg,TSch W,,K,einfach,Schillingweg,Pank O,,K,mittel
Schätzelbergstraße,TSch W,,K,einfach,Schillstraße,Mitt W,,K,mittel
Schauensteiner Weg,Span W,,K,gut,Schinkelplatz,Mitt O,,K,gut
Schauflerpfad,Rein W,,K,mittel,Schinkelstraße,ChWi W,,K,gut
Schaumburgallee,ChWi W,1 - 8,F,gut,Schinkestraße,Neuk W,2 - 5,F,einfach
Schaumburgallee,ChWi W,9 - 11,F,mittel,Schinkestraße,Neuk W,6 - 14,F,mittel
Schaumburgallee,ChWi W,12 - 13,F,gut,Schinkestraße,Neuk W,17 - 25,F,einfach
Scheelestraße,StZe W,,K,mittel,Schirmpilzstraße,TrKö O,,K,einfach
Scheerbartweg,TSch W,,K,einfach,Schirmvogelweg,Neuk W,,K,einfach
Scheffelstraße,Lich O,,K,mittel,Schirnerstraße,TrKö O,,K,mittel
Schefferweg,StZe W,,K,mittel,Schirpitzer Weg,Neuk W,,K,einfach
Scheibenbergstraße,MaHe O,,K,einfach,Schirwindter Allee,ChWi W,,K,gut
Scheiblerstraße,TrKö O,,K,mittel,Schivelbeiner Straße,Pank O,1 - 10,F,gut
Scheideggweg,TSch W,,K,mittel,Schivelbeiner Straße,Pank O,11 - 22,F,mittel
Scheidemannstraße,Mitt W,,K,gut,Schivelbeiner Straße,Pank O,23 - 26 A,F,gut
Scheinerweg,ChWi W,,K,mittel,Schivelbeiner Straße,Pank O,27 - 33,F,mittel
Schellbronner Weg,Rein W,,K,mittel,Schivelbeiner Straße,Pank O,34 - 49,F,gut
Schellendorffstraße,ChWi W,,K,gut,Schkeuditzer Straße,MaHe O,,K,einfach
Schellingstraße,Mitt W,,K,gut,Schkopauer Ring,MaHe O,,K,einfach
Schendelgasse,Mitt O,,K,gut,Schlangenbader Straße,ChWi W,10,F,gut
Schenkendorfstraße,FrKr W,,K,mittel,Schlangenbader Straße,ChWi W,11 - 76,F,mittel
Schenkestraße,Lich O,,K,mittel,Schlangenbader Straße,ChWi W,77 - 100,F,gut
Scherenbergstraße,Pank O,1 - 4,F,gut,Schlawer Straße,StZe W,,K,gut
Scherenbergstraße,Pank O,5 - 15,F,mittel,Schleffiner Straße,Neuk W,,K,mittel
Scherenbergstraße,Pank O,21 - 27,F,gut,Schlegelstraße,Mitt O,2 - 16,F,gut
Schererstraße,Mitt W,,K,einfach,Schlegelstraße,Mitt O,21 - 32,F,mittel
Scheringstraße,Mitt W,,K,einfach,Schlehdornsteig,StZe W,,K,mittel
Schettkatstraße,TrKö O,,K,einfach,Schlehenweg,Span W,,K,mittel
Scheveninger Straße,Neuk W,,K,einfach,Schleiengang,TrKö O,,K,einfach
Schichauweg,TSch W,,K,mittel,Schleiermacherstraße,FrKr W,,K,mittel
Schicklerstraße,Mitt O,,K,mittel,Schleinitzstraße,ChWi W,,K,gut
Schickstraße,Rein W,,K,gut,Schleipfuhlweg,MaHe O,,K,mittel
Schiefertonweg,Pank O,,K,einfach,Schleizer Straße,Lich O,,K,mittel
Schieferweg,Neuk W,2 - 46,G,mittel,Schlesingerstraße,ChWi W,,K,einfach
Schieferweg,Neuk W,48 - 144 A,G,einfach,Schlesische Straße,FrKr W,,K,mittel
Schieferweg,Neuk W,71 - 139,U,mittel,Schleswiger Ufer,Mitt W,,K,mittel
Schieferweg,Neuk W,143,U,einfach,Schlettstadter Straße,StZe W,,K,gut
Schieritzstraße,Pank O,,K,mittel,Schleusenufer,FrKr W,,K,mittel
Schierker Platz,Neuk W,,K,einfach,Schleusinger Straße,MaHe O,,K,einfach
Schierker Straße,Neuk W,,K,einfach,Schlichtallee,Lich O,,K,mittel
Schiffbauerdamm,Mitt O,,K,gut,Schlichtingsheimer Weg,TrKö O,1 - 11,U,einfach
Schildhorn (Halbinsel),ChWi W,,K,mittel,Schlichtingsheimer Weg,TrKö O,2 - 12,G,mittel
Schildhornstraße,StZe W,,K,gut,Schlickweg,StZe W,,K,gut
Schildower Straße,Pank O,,K,einfach,Schliemannstraße,Pank O,,K,gut
Schildower Straße,Rein W,1 - 63,U,gut,Schlieperstraße,Rein W,1 - 20,F,mittel
Schildower Straße,Rein W,2 - 14,G,mittel,Schlieperstraße,Rein W,21 - 62,F,gut
Schildower Straße,Rein W,16 - 70,G,gut,Schlieperstraße,Rein W,64 - 80,F,mittel
Schildower Straße,Rein W,67 - 97,U,mittel,Schlierbacher Weg,Neuk W,4 A - 24,G,mittel
Schildower Straße,Rein W,72 - 98,G,mittel,Schlierbacher Weg,Neuk W,5 - 25,U,einfach
Schilfanger,Lich O,,K,einfach,Schlierbacher Weg,Neuk W,29,U,mittel
Schilfsängersteig,TrKö O,,K,mittel,Schlierseestraße,TrKö O,,K,mittel
Schillerfalterstraße,MaHe O,,K,mittel,Schlitzer Straße,Rein W,,K,einfach
Schillerhof,Mitt W,,K,einfach,Schlochauer Straße,MaHe O,,K,mittel
Schillerpromenade,Neuk W,,K,einfach,Schloßallee,Pank O,,K,mittel
Schillerpromenade,TrKö O,,K,mittel,Schlosserweg,Neuk W,,K,einfach
Schillerring,Rein W,,K,einfach,Schloßplatz,Mitt O,,K,gut
Schillerstraße,ChWi W,1 - 10,F,mittel,Schloßstraße,ChWi W,,K,mittel
Schillerstraße,ChWi W,11 - 18,F,gut,Schloßstraße,StZe W,1 - 54,F,gut
Schillerstraße,ChWi W,19 - 23 A,F,mittel,Schloßstraße,StZe W,56 - 57,F,mittel
Schillerstraße,ChWi W,24 - 34,F,gut,Schloßstraße,StZe W,58 - 63,F,gut
Schillerstraße,ChWi W,35 - 51 B,F,mittel,Schloßstraße,StZe W,66 - 85,F,mittel
Schillerstraße,ChWi W,52 - 65,F,gut,Schloßstraße,StZe W,88 - 130,F,gut
Schillerstraße,ChWi W,66 - 85,F,mittel,Schloßstraße (Hermd),Rein W,,K,gut
Schillerstraße,ChWi W,86 - 128,F,gut,Schloßstraße (Tegel),Rein W,,K,mittel
Schillerstraße,TrKö O,,K,einfach,Schlotterkammsteig,Neuk W,,K,einfach
Straßenname1,Bezirk2 G3,Hausnr.4,B5,WL6,Straßenname1,Bezirk2 G3 Hausnr.4,,B5,WL6
Schluchseestraße,Rein W,3 - 79,U,einfach,Schöneberger Straße,FrKr W 14,- 15,F,mittel
Schluchseestraße,Rein W,4 - 68,G,einfach,Schöneberger Straße,FrKr W 16,,F,gut
Schluchseestraße,Rein W,84 - 84 B,G,mittel,Schöneberger Straße,FrKr W 17 A,- 19,F,mittel
Schluchseestraße,Rein W,85 - 87,U,mittel,Schöneberger Straße,FrKr W 20,- 24,F,einfach
Schlüterstraße,ChWi W,,K,gut,Schöneberger Straße,StZe W,,K,gut
Schlüterstraße,MaHe O,,K,gut,Schöneberger Straße,TSch W 5,- 9,F,mittel
Schmale Gasse,TrKö O,,K,mittel,Schöneberger Straße,TSch W 11,- 28,F,einfach
Schmale Straße,TrKö O,,K,mittel,Schöneberger Straße,TSch W 29,- 36,F,mittel
Schmalenbachstraße,Neuk W,,K,einfach,Schöneberger Ufer,FrKr W 1,,U,mittel
Schmaler Weg,TrKö O,,K,gut,Schöneberger Ufer,FrKr W 3,- 7,U,gut
Schmargendorfer Straße,TSch W,,K,gut,Schöneberger Ufer,Mitt W,,K,mittel
Schmarjestraße,StZe W,,K,gut,Schönecker Weg,TrKö O,,K,mittel
Schmausstraße,TrKö O,,K,mittel,Schönefelder Chaussee,TrKö O 1,- 147,U,mittel
